geo.coordinates
"[ 32.44703529, -92.09283893 ]"
"[ 29.88234873, -90.04541709 ]"
"[ 32.56332353, -92.05746151 ]"
"[ 30.66965733, -92.26586587 ]"
"[ 30.6667274, -92.2759413 ]"
"[ 32.55818, -92.88625999999999 ]"

"[ 29.99178026, -90.06019271 ]"
"[ 31.94142588, -92.69716289 ]"
"[ 30.02642088, -90.06763746999999 ]"
"[ 30.02124383, -90.27410537 ]"
"[ 30.102705, -93.76822661999999 ]"
"[ 32.55818, -92.88625999999999 ]"
"[ 15.54695, -88.02686 ]"
"[ 29.9828909, -90.1001539 ]"
"[ 31.94146408, -92.69700293 ]"
"[ 29.85034759, -90.96748354 ]"
"[ 29.91554882, -90.22307060999999 ]"
"[ 30.02643444, -90.06768662 ]"
"[ 17.07893089, -89.15053025 ]"
"[ 29.86502205, -90.10307236 ]"
"[ 32.55818, -92.88625999999999 ]"
"[ 32.44703529, -92.09283893 ]"
"[ 30.02633356, -90.23939805000001 ]"
"[ 30.6276971, -92.79048524 ]"
"[ 29.937347, -90.12045483 ]"
"[ 31.77205768, -93.64430347 ]"
"[ 29.88245305, -90.04531944 ]"
"[ 29.97224696, -90.07517167 ]"
"[ 32.873012, -92.71998689999999 ]"
"[ 29.93982449, -90.06870747000001 ]"
"[ 32.54818, -92.82335999999999 ]"

"[ 29.95037292, -90.07320555 ]"
"[ 30.29752838, -92.05281597 ]"
"[ 29.875016, -92.218675 ]"
"[ 15.77116, -86.78767000000001 ]"
"[ 30.0226313, -90.24987468 ]"
"[ 30.02646028, -90.06763913 ]"
"[ 31.77205768, -93.64430347 ]"
"[ 30.00316813, -90.0740766 ]"
"[ 30.1409839, -92.93438329999999 ]"
"[ 29.99175189, -90.06005164 ]"
"[ 15.01344556, -89.65103000000001 ]"
"[ 32.55848963, -92.71580819 ]"
"[ 30.1409838, -92.93438279999999 ]"
"[ 15.6052, -87.95648205000001 ]"
"[ 32.54799, -92.8122 ]"
"[ 31.94142857, -92.69702753 ]"
"[ 15.71324, -86.90714 ]"
"[ 17.07893089, -89.15053025 ]"
"[ 29.95284401, -90.07115609 ]"
"[ 29.99179593, -90.06007787999999 ]"
"[ 30.23779057, -93.15661657 ]"
"[ 30.6667272, -92.27593950000001 ]"
"[ 32.54799, -92.8122 ]"
"[ 32.34911847, -92.67887647000001 ]"
"[ 29.92760003, -90.08889377 ]"
"[ 30.46857694, -92.38882212 ]"
"[ 30.0305567, -90.07224167 ]"
"[ 32.47701847, -91.86000269 ]"
"[ 30.00270913, -90.07334777 ]"
"[ 30.0264056, -90.06770822 ]"
"[ 32.54799, -92.8122 ]"
"[ 29.94211928, -90.07300687999999 ]"
"[ 32.54731178, -92.08005905 ]"
"[ 29.3631141, -90.29043202 ]"
"[ 30.67338749, -92.27089622 ]"
"[ 30.0048523, -90.21401371 ]"
"[ 29.92062797, -90.01070558000001 ]"

"[ 29.98762801, -90.03314463 ]"
"[ 31.79495014, -93.09242497 ]"
"[ 31.94142816, -92.69711687 ]"
"[ 32.54799, -92.8122 ]"
"[ 30.02641426, -90.06765068 ]"
"[ 30.00385074, -90.18604698 ]"
"[ 30.00565585, -90.20798447999999 ]"
"[ 32.43866979, -93.71591849000001 ]"
